id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid
164|Tirso de Molina |El burlador de Sevilla||Pep Sanchís Vento|Assaig. Grup de Teatre de la Universitar València||||||14aadb3b-0047-454a-8659-e30b3a9c9c98
165|Tirso de Molina |Don Gil de las calzas verdes||Francisco García Vicente |Esceula Superior de Arte Dramático de Murcia, ESAD||||||2c226c7f-ce3d-4e89-be3e-a15046606b88
166|Tirso de Molina |El burlador de Sevilla||Hadi Kurich|Teatro de la Tormenta, Xananda||||||c435ce53-db60-484b-84be-3c7803e6537e
167|Tirso de Molina |El burlador de Sevilla|28 de junio de 2008|Emilio Hernández|Pentación|Featival de Teatro Clásico de Almagro|Almagro, Ciudad Real||38.8888239|-3.7111408|144c9b72-b057-431d-ae42-bd1f6ec92547
168|Tirso de Molina |El burlador de Sevilla|22 de febrero de 2008|Dan Jemmett|Teatro de la Abadía||Teatro de la Abadía de Madrid||40.4353022|-3.7094283|5754eca6-39c9-4243-bc3e-e3223d8d302d
169|Tirso de Molina |La mujer por fuerza|7 de marzo de 2008|José Maya|Brazodoble Producciones||Corral de Comedias de Alcalá de Henares, Madrid||40.4822922|-3.3645504|be503ec5-f94e-4d36-a7a1-635fb2b83234
170|Tirso de Molina |La prudencia en la mujer |20 de junio de 2008|Alberto González Vergel |Eskene||Plaza de San Jorge de Cáceres||39.4738717|-6.3702042|fb96cdcd-ec8b-48e5-bf5b-aac52ffd93fa
171|Tirso de Molina |Los balcones de Madrid||Ángel Gutiérrez|Teatro de Cámara, Chéjov||||||4076d180-664c-4ec9-84c8-ee649c5e1d36
172|Tirso de Molina |La celosa de sí misma|24 de julio de 2009|Marta Torres|A Priori Producciones, Teatro de Malta||Corral de Comedias de Almagro, Ciudad Real||38.8884394|-3.7119119|790cc70d-b48b-40c4-8695-40ce0be3257b
173|Tirso de Molina |El condenado por desconfiado |5 de febrero de 2010|Carlos Aladro|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Pavón de Madrid||40.410031|-3.7061552|2ea488b3-3234-4921-9199-b579750a50ac
174|Tirso de Molina |El joven burlador ||Daniel Gallo Orrego|Compañía de Teatro La Calderona, Escuela de Teatro de la Universidad Católica de Chile||||||dd69e458-7f7d-402a-ad09-75e06a897036
175|Tirso de Molina |El burlador de Sevilla|27 de noviembre de 2012|Gonzala Martín Sherman|Factoría Teatro||Sala Capitol de Cáceres||39.4762784|-6.3709216|a0ad0756-a2b7-414f-ae4e-04415e255a27
176|Tirso de Molina |El burlador de Sevilla |1 de novimebre de 2014|Antonio León|Corrales de Comedias Teatro||Casa de la Cultura de Almuñécar, Granada||36.7351075|-3.6901528|9131b3da-883b-4522-901f-49c43c2ddd22
177|Tirso de Molina |El pretendiente al revés||José Maya|Brazodoble Producciones||||||a7d55d20-0e88-4d9c-8a5d-93db133ac73e
178|Tirso de Molina |Crónica de una casa real: La venganza de Tamar y Los cabellos de Absalón ||Gustavo Galindo y Mamen Camacho|Teatro Galo Real||||||a258160e-8d13-46c3-aa8f-93b7abfbb28e
179|Tirso de Molina |El burlador de Sevilla |1 de octubre de 2015|Darío Facal|Teatro Español||Teatro Español de Madrid||40.4149459|-3.7001863|737b053b-4d1f-497b-bee6-31de2dae5bc5
180|Tirso de Molina |Marta la piadosa||Amaya Curieses|Los Barracos||||||14dd7e6f-84f3-4c25-b973-2cba7fd777bd
181|Tirso de Molina |El burlador de Sevilla|13 de abril de 2018|Josep María Mestres|Compañía Nacional de Teatro Clásico (CNTC)||Teatro de la Comedia de Madrid||40.4155336|-3.7003923|769b2e6e-6770-49bd-93d1-6aa1c3c89700
182|Tirso de Molina |El amor médico|3 de septiembre de 2019|Hugo Nieto|Ensamble Bufo||Corral de Cervantes, Madrid||40.3940876|-3.6994792|b9dfc520-92ca-4e30-b243-99279895d3cb
183|Tirso de Molina |Don Gil de las calzas verdes||Asun García|La Teatrera||||||e7191d95-5d85-478f-9de4-8c9bccfa75be
184|Tirso de Molina |Mujeres del Siglo de Oro-  fragmento de Don Gil de las calzas verdes|18 de septiembre de 2020|Jesús Peña|Teatro Corsario||Biblioteca Pública de Ávila||40.6587704|-4.6918416|3d4d631b-fd4f-4bb5-929b-a691e9450fce
185|Tirso de Molina |El burlador de Sevilla |3 de julio de 2022|Xavier Albertí|Compañía Nacional de Teatro Clásico (CNTC)|Festival Grec|Teatro Grec de Barcelona||41.3918513|2.1559657|5bb930d8-811b-461a-b36a-85d3e7f23f31
186|Tirso de Molina |El vergonzoso en palacio|16 de julio de 2022|Carlota Gaviño e Íñigo Rodríguez-Claro|Grumelot||Sala Nave 73 de Madrid||40.403178|-3.6987581|b888048f-6a03-4f27-9c6f-acff147d6948
187|Tirso de Molina |La celosa de sí misma|22 de julio de 2022|Santiago Doria|Compañía Argentina de Teatro Clásico|Festival Internacional de Teatro Clásico de Almagro|Corral de Comedias de Almagro, Ciudad Real||38.8884394|-3.7119119|363af15e-1519-4b37-a357-0d4c71ea70dc
188|Tirso de Molina |Las burladas de don Juan|2 de julio de 2022|Sonia Rubio Malagón|Duelos y Quebrantos||Centro Cultural Gilitos de Alcalá de Henares, Madrid||40.4921751|-3.3666232|6fe7e71f-7130-46c9-bcb5-0665e6598902
189|Francisco de Rojas Zorrilla|Abre el ojo ||Francisco Plaza|Amar teatro; Producciones Inconstantes||||||6b059380-867b-4b55-ad0f-db7b82e60ee3
190|Francisco de Rojas Zorrilla|Abre el ojo|21 de marzo de 2003|Javier Mateo|Aula de teatro de la Universidad de Almería|Jornadas de Teatro del Siglo de Oro|Teatro Apolo de Almería (Andalucía)||36.8406025|-2.4618673|66402164-a4ee-4211-966b-e60a7a89cc3f
191|Francisco de Rojas Zorrilla|Abre el ojo|28 de febrero de 2004|Antonio Barrios |Teatro Par||Teatro Garnelo de Montilla, Córdoba (Andalucía)||37.5905728|-4.6379186|e879e706-0161-4308-893b-8848455821f4
192|Francisco de Rojas Zorrilla|Donde hay agravios no hay celos, y amo criado||Nacho Sánchez Pascual|ComicAstros||||||a617a249-6491-4425-a6ee-75922c95d041
193|Francisco de Rojas Zorrilla|Del rey abajo, ninguno|28 de junio de 2007|Laila Ripoll|Compañía Nacional de Teatro Clásico (CNTC)|Festival Internacional de Teatro Clásico|Almagro, Ciudad Real (Castilla La Mancha)||38.8888239|-3.7111408|eb372220-08a5-4a9a-9eb9-d23a413e46d1
194|Francisco de Rojas Zorrilla|Entre bobos anda el juego||José Luis Fernández|In Vitro Teatro||||||9a0f7c16-9044-482e-99fe-5442b24c17c6
195|Francisco de Rojas Zorrilla|La ventana Rojas||Eva del Palacio|Morboria Teatro||||||401fe3c7-0375-4623-89c4-72de3deca131
